sciname_new,Kingdom,Phylum,Class,Order,Family
Pachymelania aurita,Animalia,Mollusca,Gastropoda,Caenogastropoda,Hemisinidae
Moroteuthopsis ingens,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae
Leptodactylus latrans,Animalia,Chordata,Amphibia,Anura,Leptodactylidae
Isurus oxyrinchus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae
Lethenteron camtschaticum,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae
Hoplobatrachus tigerinus,Animalia,Chordata,Amphibia,Anura,Ranidae
Nannobrachium regale,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae
Eptatretus burgeri,Animalia,Chordata,Myxini,Myxiniformes,Myxinidae
Lamna ditropis,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae
Semisulcospira coreana,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Semisulcospira forticosta,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Semisulcospira libertina,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Kareius bicoloratus,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae
Koreoleptoxis nodifila,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Koreoleptoxis globus,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Cyrtograpsus angulatus,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae
Samastacus spinifrons,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae
Unio tigridis,Animalia,Mollusca,Bivalvia,Unionida,Unionidae
Pelodiscus sinensis,Animalia,Chordata,NA,Testudines,Trionychidae
Hoplobatrachus rugulosus,Animalia,Chordata,Amphibia,Anura,Dicroglossidae
Polyides rotunda,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Polyidaceae
Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae
Sudanonautes africanus,Animalia,Arthropoda,Malacostraca,Decapoda,Potamonautidae
Lissachatina fulica,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae
