sci_name,genus,family,order,class,phylum,
skeletonema costatum,skeletonema,skeletonemataceae,thalassiosirales,coscinodiscophyceae,ochrophyta,chromista
thalassiosira pseudonana,thalassiosira,thalassiosiraceae,thalassiosirales,coscinodiscophyceae,ochrophyta,chromista
skeletonema marinoi-dohrnii,skeletonema,skeletonemataceae,thalassiosirales,coscinodiscophyceae,ochrophyta,chromista
ulva lactuca,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
caulerpa lentillifera,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
ulva linza,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
codium tomentosum,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
codium bursa,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
halimeda tuna,halimeda,halimedaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
ulva armoricana,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
codium galeatum,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
ulva californica,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva compressa,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva flexuosa,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva prolifera,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
caulerpa racemosa,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
monostroma latissimum,monostroma,monostromataceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva fasciata,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva reticulata,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
batophora oerstedii,batophora,dasycladaceae,dasycladales,ulvophyceae,chlorophyta,plantae
boodlea composita,boodlea,siphonocladaceae,cladophorales,ulvophyceae,chlorophyta,plantae
caulerpa ashmeadii,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa cupressoides,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa paspaloides,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa prolifera,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa scalpelliformis,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa sertularioides,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
chaetomorpha linum,chaetomorpha,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
cladophora prolifera,cladophora,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
codium fragile,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
codium isabelae,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
codium isthmocladum,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
halimeda incrassata,halimeda,halimedaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
halimeda macroloba,halimeda,halimedaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
halimeda opuntia,halimeda,halimedaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
penicillus capitatus,penicillus,udoteaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
rhizoclonium riparium,rhizoclonium,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
spongomorpha aeruginosa,spongomorpha,ulotrichaceae,ulotrichales,ulvophyceae,chlorophyta,plantae
udotea conglutinata,udotea,udoteaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
ulva australis,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva clathrata,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva expansa,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva intestinalis,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva pertusa,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva rigida,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
valonia utricularis,valonia,valoniaceae,cladophorales,ulvophyceae,chlorophyta,plantae
cladophora vagabunda,cladophora,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
rhizoclonium implexum,rhizoclonium,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
codium hawaiiense,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
chaetomorpha antennina,chaetomorpha,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
chlorella vulgaris,chlorella,chlorellaceae,chlorellales,trebouxiophyceae,chlorophyta,plantae
cladophora rupestris,cladophora,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
caulerpa fastigiata,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
codium spongiosum,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
codium taylorii,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
chaetomorpha aerea,chaetomorpha,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
codium dwarkense,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
ulva stenophylla,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
caulerpa mexicana,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
codium capitatum,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
acetabularia acetabulum,acetabularia,polyphysaceae,dasycladales,ulvophyceae,chlorophyta,plantae
caulerpa macrodisca,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
chlorella salina,chlorella,chlorellaceae,chlorellales,trebouxiophyceae,chlorophyta,plantae
monostroma nitidum,monostroma,monostromataceae,ulvales,ulvophyceae,chlorophyta,plantae
flabellia petiolata,flabellia,udoteaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa filiformis,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
halimeda cuneata,halimeda,halimedaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa brachypus,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
ulva linz,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
caulerpa scalpeliformis,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa sertularoides,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa veravalnensis,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa veravelensis,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
caulerpa vervelansis,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
monostroma fragile,monostroma,monostromataceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva sp,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva spp,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva spp.,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
codium decorticatus,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
cladophora sp.,cladophora,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
caulerpa scapelliformis,caulerpa,caulerpaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
codium geopiorum,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
ulva pulchra,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
cladophora,cladophora,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
codium,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
monostroma,monostroma,monostromataceae,ulvales,ulvophyceae,chlorophyta,plantae
ulva,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
ulvalactuca,ulva,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
struvea anastomosans,struvea,valoniaceae,cladophorales,ulvophyceae,chlorophyta,plantae
chlorella pyrenoidosa,chlorella,oocystaceae,chlorellales,trebouxiophyceae,chlorophyta,plantae
cladophora pellucida,cladophora,cladophoraceae,cladophorales,ulvophyceae,chlorophyta,plantae
codium reediae,codium,codiaceae,bryopsidales,ulvophyceae,chlorophyta,plantae
enteromorpha compressa,enteromorpha,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
enteromorpha flexuosa,enteromorpha,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
enteromorpha intestinalis,enteromorpha,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
enteromorpha linza,enteromorpha,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
enteromorpha tubulosa,enteromorpha,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
monostroma oxyspermum,monostroma,gomontiaceae,ulotrichales,ulvophyceae,chlorophyta,plantae
enteromorpha prolifera,enteromorpha,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
enteromorpha clathrata,enteromorpha,ulvaceae,ulvales,ulvophyceae,chlorophyta,plantae
spirulina sp.,spirulina,spirulinaceae,spirulinales,cyanophyceae,cyanobacteria,monera
spirulina pacifica,spirulina,spirulinaceae,spirulinales,cyanophyceae,cyanobacteria,monera
spirulina platensis,spirulina,spirulinaceae,spirulinales,cyanophyceae,cyanobacteria,monera
spirulina spp,spirulina,spirulinaceae,spirulinales,cyanophyceae,cyanobacteria,monera
diacronema lutheri,diacronema,pavlovaceae,pavlovales,haptophyta,haptista,chromista
enhydra fluctuans,enhydra,asteraceae,asterales,magnoliospida,magniliophyta,plantae
fucus spiralis,fucus,fucaceae,fucales,phaeophyceae,ochrophyta,chromista
padina pavonia,padina,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
