ScientificName,AphiaID,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Tympanotonus fuscatus,527570,Tympanotonos fuscatus,Animalia,Mollusca,Gastropoda,Caenogastropoda,Potamididae,Tympanotonus,fuscatus
Pachymelania aurita,225190,Pachymelania aurita,Animalia,Mollusca,Gastropoda,Caenogastropoda,Hemisinidae,Pachymelania,aurita
Pelamys chiliensis,293729,Sarda chiliensis,Animalia,Chordata,Actinopteri,Scombriformes,Scombridae,Pelamys,chiliensis
Colisa fasciata,315877,Trichogaster fasciata,Animalia,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Colisa,fasciata
Fenneropenaeus indicus,210375,Penaeus indicus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Fenneropenaeus,indicus
Liza parsia,1509460,Planiliza parsia,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,parsia
Chrysophrys auratus,398546,Pagrus auratus,Animalia,Chordata,Actinopteri,Eupercaria,Sparidae,Chrysophrys,auratus
Liza alata,1043423,Planiliza alata,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,alata
Paralipophrys trigloides,302165,Lipophrys trigloides,Animalia,Chordata,Actinopteri,Blenniiformes,Blenniidae,Paralipophrys,trigloides
Moroteuthis ingens,1452502,Moroteuthopsis ingens,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Moroteuthis,ingens
Leptodactylus ocellatus,1389975,Leptodactylus latrans,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,ocellatus
Fenneropenaeus merguiensis,210377,Penaeus merguiensis,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Fenneropenaeus,merguiensis
Colisa fasciatus,315877,Trichogaster fasciata,Animalia,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Colisa,fasciatus
Liza ramada,1042830,Chelon ramada,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,ramada
